TimeCreated,EventId,TargetUserName,IpAddress,WorkstationName
2026-08-12 09:31:04,4625,administrator,203.0.113.50,WS-LAB-01
2026-08-12 09:31:22,4625,administrator,203.0.113.50,WS-LAB-01
2026-08-12 09:31:41,4625,administrator,203.0.113.50,WS-LAB-01
2026-08-12 09:32:05,4625,admin,203.0.113.50,WS-LAB-01
2026-08-12 09:32:28,4625,administrator,203.0.113.50,WS-LAB-01
2026-08-12 09:32:53,4625,administrator,203.0.113.50,WS-LAB-01
2026-08-12 09:34:10,4625,guest,198.51.100.23,WS-LAB-02
2026-08-12 09:36:47,4625,guest,198.51.100.23,WS-LAB-02
2026-08-12 09:40:12,4625,svc_backup,-,WS-LAB-01
2026-08-12 09:44:38,4624,labadmin,192.168.1.20,WS-LAB-01
